playDispNm,teamAbbr,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playTRB
Tyreke Evans,MEM,22,78,19,1,2,1,0,1,12,7,6
Al Horford,BOS,34,82,27,4,4,0,1,2,14,11,9
Marcus Smart,BOS,27,76,8,4,2,1,0,1,10,2,1
Giannis Antetokounmpo,MIL,42,82,28,7,3,3,1,3,21,10,10
Tony Snell,MIL,25,79,11,1,1,0,0,4,7,4,1
Matthew Dellavedova,MIL,21,76,5,2,2,0,0,1,4,2,2
Mirza Teletović,MIL,17,81,3,1,2,0,0,0,5,1,3
C.J. McCollum,POR,39,75,23,4,0,0,0,2,18,8,5
Jusuf Nurkic,POR,27,83,12,1,3,0,1,5,12,6,8
Dante Cunningham,NO,34,80,6,1,0,1,0,3,8,2,4
Ian Clark,NO,20,75,7,1,0,0,0,4,5,2,1
De'Aaron Fox,SAC,25,75,14,5,0,0,0,3,13,4,2
Luc Richard Mbah a Moute,HOU,41,80,12,2,2,2,3,2,8,5,8
James Harden,HOU,37,77,27,11,5,1,0,4,18,8,10
Clint Capela,HOU,17,82,7,0,0,0,1,5,3,3,6
Dwight Howard,CHA,32,83,19,2,2,1,1,2,13,7,16
Dwayne Bacon,CHA,29,79,1,1,2,0,0,2,6,0,4
Marvin Williams,CHA,26,81,3,1,1,0,0,1,3,1,2
LaMarcus Aldridge,SA,30,83,24,0,1,0,1,0,14,9,11
Pau Gasol,SA,26,84,12,1,1,0,0,0,7,5,11
Rudy Gay,SA,24,81,2,4,2,0,4,2,6,1,7
Kyle Anderson,SA,22,81,4,3,1,1,0,1,4,1,6
Aaron Gordon,ORL,26,81,16,2,1,0,1,1,11,7,6
Terrence Ross,ORL,24,78,2,0,2,1,1,2,6,1,7
Jonathon Simmons,ORL,23,78,17,3,0,0,0,3,13,8,4
Wilson Chandler,DEN,23,80,2,1,1,0,0,1,3,1,1
Joe Harris,BKN,27,78,6,1,0,1,0,4,6,2,1
Quincy Acy,BKN,19,79,12,0,1,0,0,1,6,4,4
Doug McDermott,NY,21,80,12,0,0,0,0,0,6,4,5
Russell Westbrook,OKC,37,75,27,9,8,2,0,5,18,10,8
Patrick Patterson,OKC,19,81,3,1,0,0,1,0,4,1,3
Gorgui Dieng,MIN,12,83,6,0,0,0,0,5,3,2,2
Mike Scott,WAS,24,80,14,1,2,0,0,3,7,4,7
Klay Thompson,GS,31,79,18,3,1,0,2,4,19,8,2
DeMar DeRozan,TOR,37,79,24,5,4,3,0,1,21,9,5
Kyle Lowry,TOR,36,72,11,12,1,2,0,1,14,4,10
Norman Powell,TOR,21,76,3,2,2,1,0,3,8,1,1
LeBron James,CLE,31,80,18,8,4,0,0,3,11,6,5
Iman Shumpert,CLE,21,77,5,1,3,0,1,1,3,2,2
Anthony Davis,NO,36,82,30,2,0,2,3,5,22,11,14
Dante Cunningham,NO,31,80,2,2,0,1,1,2,2,1,4
Ian Clark,NO,21,75,3,3,1,0,0,1,5,1,2
Russell Westbrook,OKC,28,75,12,13,2,2,0,2,13,5,13
Denzel Valentine,CHI,31,77,8,3,3,1,0,2,12,3,9
Lauri Markkanen,CHI,28,84,15,1,0,0,1,1,7,3,8
Cristiano Felício,CHI,23,82,2,0,1,0,1,0,2,1,8
Kris Dunn,CHI,22,76,8,3,4,3,1,5,9,4,4
Jerian Grant,CHI,21,77,2,4,0,1,0,1,7,0,2
James Harden,HOU,34,77,20,8,3,2,0,3,19,6,4
Luc Richard Mbah a Moute,HOU,34,80,0,3,1,0,0,3,4,0,2
Clint Capela,HOU,22,82,12,1,2,1,1,3,8,5,12
Dillon Brooks,MEM,29,79,6,3,1,2,0,2,7,2,5
Mike Conley,MEM,26,73,8,3,0,0,1,1,10,4,3
Mario Chalmers,MEM,25,73,15,4,1,2,0,2,10,6,2
Tyreke Evans,MEM,24,78,14,4,1,1,0,1,12,5,7
