,playDispNm,teamAbbr,teamLoc,playStat,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFTA,playFTM,playTRB,opptAbbr,opptRslt,gameNum
16471,Chris Paul,HOU,Home,Starter,31,72,27,5,2,0,0,2,19,11,2,2,4,POR,Loss,79
16472,James Harden,HOU,Home,Starter,34,77,24,7,8,1,0,0,13,7,10,7,6,POR,Loss,79
16473,Clint Capela,HOU,Home,Starter,32,82,11,1,0,2,1,2,6,4,4,3,10,POR,Loss,79
16474,Trevor Ariza,HOU,Home,Starter,27,80,10,1,1,1,0,3,8,4,0,0,1,POR,Loss,79
16475,Luc Richard Mbah a Moute,HOU,Home,Bench,25,80,9,0,0,5,0,2,5,2,6,3,2,POR,Loss,79
16476,Gerald Green,HOU,Home,Bench,26,80,6,2,2,0,0,3,9,2,0,0,3,POR,Loss,79
16477,Joe Johnson,HOU,Home,Bench,18,80,4,0,0,0,0,0,6,2,0,0,3,POR,Loss,79
16478,Allen Crabbe,BKN,Away,Starter,30,78,25,1,2,0,2,1,14,8,5,4,7,MIL,Loss,79
16479,D'Angelo Russell,BKN,Away,Starter,29,77,22,5,5,0,0,4,16,9,1,0,1,MIL,Loss,79
16480,Joe Harris,BKN,Away,Starter,29,78,17,6,0,0,0,3,8,6,2,2,4,MIL,Loss,79
16481,Rondae Hollis-Jefferson,BKN,Away,Starter,37,79,14,5,5,1,4,3,6,3,8,8,11,MIL,Loss,79
16482,Caris LeVert,BKN,Away,Bench,30,79,13,2,2,1,1,2,10,5,2,1,3,MIL,Loss,79
16483,Spencer Dinwiddie,BKN,Away,Bench,25,78,9,6,1,0,0,2,7,3,1,1,2,MIL,Loss,79
16484,Quincy Acy,BKN,Away,Bench,23,79,9,3,0,1,0,0,6,3,0,0,3,MIL,Loss,79
16499,Donovan Mitchell,UTA,Home,Starter,28,75,19,5,2,1,0,3,15,6,8,7,5,LAC,Loss,79
16500,Derrick Favors,UTA,Home,Starter,28,82,16,0,0,1,1,4,15,7,2,2,3,LAC,Loss,79
16501,Rudy Gobert,UTA,Home,Starter,28,85,15,2,2,1,3,1,6,6,6,3,10,LAC,Loss,79
16502,Jonas Jerebko,UTA,Home,Bench,24,81,13,0,1,1,0,2,6,5,2,2,2,LAC,Loss,79
16503,Alec Burks,UTA,Home,Bench,17,78,13,1,2,0,0,1,8,5,0,0,2,LAC,Loss,79
16504,Joe Ingles,UTA,Home,Starter,32,80,11,9,1,2,1,2,8,4,2,1,1,LAC,Loss,79
16505,Dante Exum,UTA,Home,Bench,24,77,10,5,0,0,2,3,9,4,4,1,4,LAC,Loss,79
16513,Jamal Murray,DEN,Home,Starter,36,76,22,1,1,0,1,4,16,8,3,3,2,MIN,Loss,79
16514,Devin Harris,DEN,Home,Bench,20,75,20,1,2,0,0,2,11,6,3,3,3,MIN,Loss,79
16515,Nikola Jokić,DEN,Home,Starter,36,82,16,9,2,1,1,5,20,6,3,3,14,MIN,Loss,79
16516,Will Barton,DEN,Home,Starter,40,77,14,6,2,1,1,3,14,6,0,0,6,MIN,Loss,79
16517,Paul Millsap,DEN,Home,Starter,33,80,12,1,2,0,1,1,12,3,9,6,7,MIN,Loss,79
16518,Wilson Chandler,DEN,Home,Starter,33,80,10,0,0,0,1,0,10,4,2,2,5,MIN,Loss,79
16519,Mason Plumlee,DEN,Home,Bench,22,82,6,2,1,0,1,2,4,2,2,2,7,MIN,Loss,79
16527,Reggie Jackson,DET,Home,Starter,35,75,24,7,1,0,0,2,18,11,2,1,0,DAL,Loss,79
16528,Andre Drummond,DET,Home,Starter,42,83,19,5,2,1,2,3,13,9,6,1,16,DAL,Loss,79
16529,Anthony Tolliver,DET,Home,Starter,35,81,16,2,2,1,0,4,9,6,0,0,3,DAL,Loss,79
16530,Langston Galloway,DET,Home,Bench,26,74,15,1,0,1,0,1,14,5,2,1,4,DAL,Loss,79
16531,Stanley Johnson,DET,Home,Starter,39,79,11,4,0,2,1,2,10,4,3,2,6,DAL,Loss,79
16532,Henry Ellenson,DET,Home,Bench,18,83,11,0,2,0,0,1,10,4,2,2,5,DAL,Loss,79
16533,Ishmael Smith,DET,Home,Bench,18,72,9,3,2,1,1,3,6,4,0,0,2,DAL,Loss,79
16534,Malik Monk,CHA,Away,Bench,26,75,26,8,1,0,1,1,14,8,6,6,1,ORL,Loss,80
16535,Frank Kaminsky,CHA,Away,Bench,26,85,21,1,1,0,0,1,15,8,2,2,4,ORL,Loss,80
16536,Marvin Williams,CHA,Away,Starter,22,81,18,2,0,1,0,2,9,7,2,2,2,ORL,Loss,80
16537,Dwight Howard,CHA,Away,Starter,28,83,16,2,2,0,4,2,10,5,8,6,17,ORL,Loss,80
16538,Jeremy Lamb,CHA,Away,Bench,20,77,16,2,0,0,0,0,9,6,0,0,3,ORL,Loss,80
16539,Kemba Walker,CHA,Away,Starter,23,73,13,4,1,1,0,0,9,3,6,6,1,ORL,Loss,80
16540,Willy Hernangómez,CHA,Away,Bench,20,82,11,1,0,1,0,4,6,5,0,0,12,ORL,Loss,80
16555,J.J. Redick,PHI,Home,Starter,32,76,28,1,1,0,0,2,19,9,7,6,2,CLE,Loss,79
16556,Ben Simmons,PHI,Home,Starter,36,82,27,13,3,4,1,4,17,12,5,3,15,CLE,Loss,79
16557,Marco Belinelli,PHI,Home,Bench,30,77,23,2,2,0,1,3,15,7,3,3,2,CLE,Loss,79
16558,Ersan Ilyasova,PHI,Home,Bench,29,81,17,5,1,1,1,4,12,6,4,4,11,CLE,Loss,79
16559,Robert Covington,PHI,Home,Starter,36,81,11,0,0,3,3,5,8,4,1,1,4,CLE,Loss,79
16560,Markelle Fultz,PHI,Home,Bench,12,76,10,4,2,1,0,1,8,5,0,0,3,CLE,Loss,79
16561,Amir Johnson,PHI,Home,Starter,19,81,7,4,1,1,0,2,8,3,1,1,3,CLE,Loss,79
16562,Taurean Prince,ATL,Away,Starter,34,80,23,5,2,2,0,6,18,8,6,6,4,WAS,Loss,80
16563,Tyler Dorsey,ATL,Away,Bench,32,76,22,1,0,0,1,2,14,7,4,4,3,WAS,Loss,80
16564,Dewayne Dedmon,ATL,Away,Starter,32,84,12,3,1,1,1,3,8,5,3,2,14,WAS,Loss,80
16565,Damion Lee,ATL,Away,Bench,26,78,11,3,3,0,0,2,9,4,2,2,6,WAS,Loss,80
16566,John Collins,ATL,Away,Starter,31,82,10,5,1,0,1,2,9,5,3,0,10,WAS,Loss,80
16567,Isaiah Taylor,ATL,Away,Starter,25,74,10,4,4,2,0,4,10,3,3,2,1,WAS,Loss,80
16568,Mike Muscala,ATL,Away,Bench,24,83,7,1,3,0,1,0,6,3,0,0,9,WAS,Loss,80
16583,Jaylen Brown,BOS,Home,Starter,30,79,32,2,4,0,0,1,19,11,5,3,4,CHI,Loss,79
16584,Greg Monroe,BOS,Home,Bench,28,83,19,10,3,2,1,4,10,8,3,3,11,CHI,Loss,79
16585,Jabari Bird,BOS,Home,Bench,24,78,15,3,2,1,1,0,10,7,3,0,3,CHI,Loss,79
16586,Marcus Morris,BOS,Home,Starter,26,81,12,3,0,2,0,0,12,6,2,0,1,CHI,Loss,79
16587,Jonathan Gibson,BOS,Home,Bench,9,74,9,2,0,0,0,2,6,3,0,0,1,CHI,Loss,79
